0 1.16446 -17.2439 0.162547
0.1 1.43137 100.914 -0.987049
0.2 1.25413 -652.141 5.65755
0.3 9.58867 563.105 -36.5837
0.4 216.226 -12.4386 -0.558217
0.5 213.142 -17.4313 -0.370768
0.6 210.35 -20.4492 -0.191031
0.7 208.293 -21.5664 -0.0189887
0.8 207.14 -20.9002 0.145416
0.9 206.849 -18.613 0.302332
1 207.208 -14.8928 0.452009
1.1 207.879 -9.92505 0.594759
1.2 208.43 -3.86498 0.73091
1.3 208.354 3.18462 0.860736
1.4 207.099 11.1896 0.984394
1.5 204.085 20.199 1.10187
1.6 198.736 30.3641 1.21289
1.7 190.515 41.9708 1.31687
1.8 178.971 55.5002 1.41275
1.9 163.8 71.7467 1.49884
2 144.915 92.0574 1.57243
2.1 122.53 118.855 1.62918
2.2 97.2596 156.914 1.66181
2.3 70.2213 217.026 1.65721
2.4 43.1636 329.609 1.58883
2.5 18.6139 629.209 1.39152
2.6 -0.032221 -185962 0.824782
2.7 450.849 3895.42 249.508
2.8 -465143 -3.53111 244.302
2.9 -7.54977e+06 143.643 244.47
3 -1.40691e+09 15.5353 244.627
3.1 -5.8214e+13 2.49412 244.789
3.2 -9.96725e+22 2.4382 244.952
3.3 -2.92194e+41 2.4382 245.114
3.4 -2.5111e+78 2.4382 245.277
3.5 -1.8546e+152 2.4382 245.439
3.6 -1.01163e+300 2.4382 245.602
3.7 -inf 2.4382 245.764
3.8 -inf -nan 245.927
3.9 -nan -nan -nan
4 -nan -nan -nan
4.1 -nan -nan -nan
4.2 -nan -nan -nan
4.3 -nan -nan -nan
4.4 -nan -nan -nan
4.5 -nan -nan -nan
4.6 -nan -nan -nan
4.7 -nan -nan -nan
4.8 -nan -nan -nan
4.9 -nan -nan -nan
5 -nan -nan -nan
5.1 -nan -nan -nan
5.2 -nan -nan -nan
5.3 -nan -nan -nan
5.4 -nan -nan -nan
5.5 -nan -nan -nan
5.6 -nan -nan -nan
5.7 -nan -nan -nan
5.8 -nan -nan -nan
5.9 -nan -nan -nan
6 -nan -nan -nan
6.1 -nan -nan -nan
6.2 -nan -nan -nan
6.3 -nan -nan -nan
6.4 -nan -nan -nan
6.5 -nan -nan -nan
6.6 -nan -nan -nan
6.7 -nan -nan -nan
6.8 -nan -nan -nan
6.9 -nan -nan -nan
7 -nan -nan -nan
7.1 -nan -nan -nan
7.2 -nan -nan -nan
7.3 -nan -nan -nan
7.4 -nan -nan -nan
7.5 -nan -nan -nan
7.6 -nan -nan -nan
7.7 -nan -nan -nan
7.8 -nan -nan -nan
7.9 -nan -nan -nan
8 -nan -nan -nan
8.1 -nan -nan -nan
8.2 -nan -nan -nan
8.3 -nan -nan -nan
8.4 -nan -nan -nan
8.5 -nan -nan -nan
8.6 -nan -nan -nan
8.7 -nan -nan -nan
8.8 -nan -nan -nan
8.9 -nan -nan -nan
9 -nan -nan -nan
9.1 -nan -nan -nan
9.2 -nan -nan -nan
9.3 -nan -nan -nan
9.4 -nan -nan -nan
9.5 -nan -nan -nan
9.6 -nan -nan -nan
9.7 -nan -nan -nan
9.8 -nan -nan -nan
9.9 -nan -nan -nan
10 -nan -nan -nan
